author,title,full_text
Алиса,Мастер лжи,"Сколько воли - и не взять...
Ох, сколько неба - и не скрыться
От земли,
Где в чёрном коконе кипят города...
Где по книгам тишь да гладь
Да в бурых кляксах все страницы,
Где лукавый слово ""нет""
Передёрнул в слово ""да""...

А мне снилось, что война
Ну что-то типа операций,
Где горит
Всё, что только можно жечь, но не газ...
Где латинский алфавит -
Лишний повод для фрустраций,
А в звукоряд островитян
Встроен тон команды ""фас""...

Белым саваном легла беда
Застолбила за собой налёт...
Разгулялся мастер лжи тогда,
Мастерством своим оплёл народ.

(на одном аккорде)
А над лесом сгущался туман
Припорошенный снегом,
То ли грёзы, то ли обман
Между явью и небом,
Что так злобно и сладко поют
Будто по миру гонят,
То ли ведьму за пса выдают
То ли чёрта хоронят...

И мне снится, что прошло
И то, что будет, растворится,
Но без нас...
Всё так же будет путать явь мастер лжи,
Мором, голодом пугать,
По горячим точкам биться,
В жажде весь крещёный мир
Переплавить на ножи...

Белым саваном легла беда
Застолбила за собой налёт...
Разгулялся мастер лжи тогда,
Мастерством своим оплёл...
"
Алиса,Гойда,"У русских нет берегов, так у огня и так у ветра...
Русская стать держит удар на рубеже всех фронтов...
Что впереди в облаке пепла,
Жизнь или смерть, свет или тьма в груди горит во веки веков...
Этот вопрос мучает русское сердце,
И ничего от этой войны, по сути, больше не взять...
Боль обожгла скальпелем солнца,
И первый луч брызнул ответ в лицо, а глаза прикрыла Родина-мать...

Русский вопрос...
Хей, гойда...

Ясному соколу - зари...
Тёмному филину - полуночной сечи,
Как схватились намертво посмотри,
Как легла беда на плечи.

Хей, гойда!

И заметелило винтом,
Бражной пощёчиной залетело в бурю.
Русский на русского пошёл
Не по злобе, от дури...
А кто дедов сказ не слушал,
Тот на ветру сгорел...
Жжёт мёртвые души
Братский беспредел... Братский беспредел... Братский беспредел...

Хей, гойда! 

У русских нет берегов, так у огня и так у ветра...
И всё ничего, если держать в уме полшага вперёд,
Но это не к нам, здесь километры
Лесных дорог, воля тайги, да дурь - авось опять пронесёт.,
Ноют в мороз или к весне старые раны,
Падает снег, жар от печи раздул всего один уголёк...
Русский уклад - не сыто не пьяно,
И так сойдёт, просит душа гореть, а по-другому не прёт...

Хей, гойда... 
"
Алиса,Отпетый и опасный,"В тридесятом царстве за тридевять вёрст,
Где рулит движением собачий хвост,
Где за престолом спит болотный гриб,
А прямая речь - сплошной изгиб...

Там жил-поживал в лесах опасный дурак,
Нёс околесицу, как челядь - флаг...
Тешил частушками честной народ,
Гнал, наговаривал себе на расход...

Знал, что дурак, да только не знал, что крут,
А коли опасен, так тебя стерегут...
Гонят по выселкам, что б знал своё
Место на Госуслугах, ё-моё...

А у Верховного цепные псы
Рвут дерзких заживо, но ты не ссы,
Выдюжишь барщину, как все, вась-вась...
Станешь при звании «полезная мразь»...

«Есть в Комаричах, под Курском, старый лес,
А в лесу том сосны, ели до небес...
Сосны, ели да берёзы хороши,
А под ними-то землянки, шалаши...
В шалашах-то всё крестьяне-беглецы,
А в землянках-то холопы-молодцы...
Собралася многотысячная рать.
Им, холопам, больше нечего терять...»

А у нас здесь все прокапаны от ОРВИ,
Без принуждения, а по любви...
Хочешь вычислить оторванных - дели на три,
Ну а властью прикормленных - тогда смотри...
Как тут придворные журдены - элита поселян -
Который год решают, зачем козе баян...
Такая в тридесятом звенит струна,
Когда команда «фас» дана...

Будешь покладистый, дадут расти...
Станешь упорствовать, тогда прости...
Здесь все, кто прикормлены, идут меж струй,
Таких называют тут «ручной холуй»...


«Ах ты, вражий сын, комаринский мужик!
Он от барина-боярина бежит,
Он не хочет на боярина пахать,
Он не хочет, как собака, подыхать,
Он не хочет жить на скотном на дворе,
Он не хочет спать в собачьей конуре...
У боярина ни плотника,
У боярина ни скотника,
Ни холопа, ни работника
Всех увёл Иван - дурак Болотников...»


А ответ на это всё звучал вот так:
Не могу полезным быть, ведь я дурак,
Я с небесной вольницей сюда зашёл,
Мне на небе-облаке жить хорошо...

Мне ли к вашим правилам привыкать,
Мне Спаситель сам Христос, и Божья Мать!
Мне ваши почести ну как-то так...
Не полезен и не приручён. Я отпетый дурак..
"
Алиса,Слово Любви,"Лучше не будет -
Бесы вошли в народ
Это плата Иуде
За хороводы задом наперёд.
За нашу дикость
И непокорный нрав...
Весь этот фарс, что продали нам
Циничен и кровав...


Я всего лишь тень
За тёмной пеленой
С теми, кто в огне
Смыкаю строй...
Рушатся вершины
В чёрный перекат,
И бредут стада
Дорогой в ад...

В ад!

Мир, служа козлу,
Плюёт на крест...
Радугой обвита
Кисея небес...
Учат по сети ""Учителя""
Но держит оборону
Русская земля!

Русская земля!
Русская земля!
Русская земля!
Русская земля!

А по земле гуляет пламя-табун
Гуляет страшно, но красиво...
Клеймит печатью, метит искрами струн,
Ужас от копыт до гривы..
Когда от неба отрекалась земля,
Землёю становился пепел
Чтоб никому уже нигде, никогда
Зерна не отличать от плевел...

Небо зовёт быть верным!
Небо горит в море глаз!
Небо ведёт в дом первых!
Небо поёт - солнце за нас!
И никому не одолеть
Слово Любви!
Слово Любви горит во тьме
Звездой на крови!

А будет только хуже,
Если не внять огню...
Затхлые лужи
У жизни на краю...
Ступор испуга,
Дым ядовитых трав
Весь этот фарс, что продали нам,
Циничен и кровав...

"
Indila,Ainsi bas la vida - (Жизнь бывает сложной) - 1 на русском,"Это был грустный день, каких в мире миллион,
Когда вдруг заговорил со мной он.
Был уже поздний час, вовсе некуда идти,
Но я знала – повезло его найти.
Как его улыбка и глаза твердили: «Утони во вздохе, просто будь со мной»
То, как моё сердце билось торопливо...
Люди мне чужие отняли покой, сказав:

«Перестань усложнять всё и не глупи.
Этот парень не так прост, он на мели.
Выкинь прочь из головы. Прошу постой.
Нет, здесь что-то не чисто. Он не такой».

Так вся жизнь проходит. Так вся жизнь проходит.
Так вся жизнь проходит. Так вся жизнь проходит.
Ainsi bas la vida. Ainsi bas la vida.
Ainsi bas la vida. Ainsi...

Не грусти, дорогой, первый парень на селе.
Не расстаться никогда нам и нигде.
Странно так, признаю, незнакомца полюбить;
От любви всю свою жизнь в миг изменить.
Как его улыбка и глаза твердили,
Мы до гроба вместе, он мной дорожит.
То, как моё сердце билось торопливо.
Мне не будет страшен весь пустой ваш крик:

«Перестань усложнять всё и не глупи.
Этот парень не так прост, он на мели.
Выкинь прочь из головы. Прошу постой.
Нет, здесь что-то не чисто. Он не такой».

Так вся жизнь проходит. Так вся жизнь проходит.
Так вся жизнь проходит. Так вся жизнь проходит.
Так вся жизнь проходит. Так вся жизнь проходит.
Так вся жизнь проходит. Так вся жизнь проходит.

«Перестань усложнять всё и не глупи.
Этот парень не так прост, он на мели.
Выкинь прочь из головы. Прошу постой.
Нет, здесь что-то не чисто. Он не такой».

Так вся жизнь проходит. Так вся жизнь проходит.
Так вся жизнь проходит. Так вся жизнь проходит.
Ainsi bas la vida. Ainsi bas la vida.
Ainsi bas la vida. Ainsi...
"
Алиса,Мегаломания,"Из грязи князь не выходит, как ни лепи,
Бездомных псов не венчают на царство...
Все те, кто пытался, истлели в пыли,
Хотя и мнили себя государством.

Мегаломания...

Страх молодится, страх не хочет стареть,
Для страха смерть очевидно бессмертна,
Вот только совесть мешает узреть,
Что сутью сделки являлась оферта.

Лава...
Мутный поток,
Панику подкручивает сеть...
Слава...
Грёбаный Рок -
Суть измены...
Пафос...
Чёрная тать
Следует приказу очуметь...
Хаос...
Чёртова мать
Режет вены...

А между тем установлен сословный капкан, «Элиты» мнят себя избранной кастой,
Отцы народов греют пищу богам,
Не веря в то, что пища может оказаться зубастой...

Козырять гнилым нутром
Проще, чем нутро лечить...
Где-то над землей беспилотный шторм,
А под землей тяга просто жить...

Лава...
Мутный поток,
Панику подкручивает сеть...
Слава...
Грёбаный Рок -
Суть измены...
Пафос...
Чёрная тать
Следует приказу очуметь...
Хаос...
Чёртова мать
Режет вены...


Мегаломания...

Лава...
Мутный поток,
Панику подкручивает сеть...
Слава...
Грёбаный Рок -
Суть измены...
Пафос...
Чёрная тать
Следует приказу очуметь...
Хаос...
Чёртова мать
Режет вены...
"
Йемен,Платье,"всё тот же вечер, всё те же лица и моему сердцу всё так же биться и ты такой необыкновенный подойдёшь ко мне наверное в этот раз

какого дьявола мне это набодно, какого художника мне это надо или не надо, только я я ничего не хочу решать, я хочу новое платье и танцевать новое платье и танцевать

другое время, другие лица и моему сердцу по-другому биться и ты другой и необыкновенный подойдёшь ко мне наверное в этот раз

какого дьявола мне это набодно, какого художника мне это надо или не надо, только я я ничего не хочу решать, я хочу новое платье и танцевать новое платье и танцевать

какого дьявола мне это набодно, какого художника мне это надо или не надо, только я я ничего не хочу решать, я хочу новое платье (новое платье) я ничего не хочу решать, я хочу новое платье (новое платье) я ничего не хочу решать, я хочу новое платье и танцевать
"
лунный бард,Метаморфоза,"Приезжай в туманный город на окраине Земли
Здесь никто нас не догонит, здесь с тобой мы короли
Приезжай в туманный город, привози с собой друзей
Тьма не скоро пустит корни, если будешь посмелей
Загляни в меня, загляни в мои глаза
Что там видишь? Что ты слышишь? Руки спутала лоза
Загляни скорей в мой подвал и под кровать
Чей-то шёпот жаром в ухо – «Ты не сможешь убежать»

Раз, два, стонет половица
Если хочешь выжить, то придется измениться
Пять, шесть, рот зажми руками
Те, кто против нас, еще не знают, что все с нами
Раз, два, мы играем в прятки,
Но когда находим, убегаем без оглядки
Пять, шесть, вспоминай молитвы,
Ведь сирена вновь разрежет воздух, словно бритвой Вспоминай молитвы
Раз, два

Забаррикадируй окна, дверь запри на три замка
Пусть футболка вся промокла, но надежда все ж крепка
Выдыхай туман из лёгких и вдыхай мой сладкий дым
Сохрани свои находки, сохрани себя живым
Загляни во мрак, загляни в мое нутро
Что там видишь? Что ты слышишь? Смерть поставит на зеро
Загляни скорей в бездну, разум сохраня,
Только помни, что ведь бездна тоже смотрит на тебя

Раз, два, стонет половица
Если хочешь выжить, то придется измениться
Пять, шесть, рот зажми руками
Те, кто против нас, еще не знают, что все с нами
Раз, два, мы играем в прятки,
Но когда находим, убегаем без оглядки
Пять, шесть, вспоминай молитвы,
Ведь сирена вновь разрежет воздух, словно бритвыВспоминай молитвы
Пять, шесть

Я в этом городе очень некстати
Его фундамент, жилец и проклятье
А из глазниц текут черные слезы
Ну что, готов к метаморфозе?
К метаморфозе, к метаморфозе

Раз, два, стонет половица
Если хочешь выжить, то придется измениться
Пять, шесть, рот зажми руками
Те, кто против нас, еще не знают, что все с нами
Раз, два, мы играем в прятки,
Но когда находим, убегаем без оглядки
Пять, шесть, вспоминай молитвы,
Ведь сирена вновь разрежет воздух, словно бритвойПрячься под кровать, под кроватьТы не сможешь убежать
"
MORGENSHTERN,Pablo (ROCK REMIX),"Загорелось солнце над ебалом
Сутки позади, но мы не спали
Молодые боссы, будто Пабло
Едем забирать пакеты с налом (Я, я, я)

Загорелось солнце над ебалом (Е-е)
Сутки позади, но мы не спали (А)
Молодые боссы, будто Пабло (Р-р-р)
Едем забирать пакеты с налом (Фью-фью-фью-фью)

Денег на счету нам всегда мало (Очень мало)
Заберём всё то, чё нам не дали (Заберём)
Если сука рядом — она знает (Она знает)
Что пока меня не заебала (Я-я)
Ненавидь меня — это нормально (Это нормально)
Дураки не любят гениальных (Дурачок)
И те камни, чё в меня кидают (Ай)
Сразу превращаю в бриллианты

Загорелось солнце над ебалом (Я-я-я)
Сутки позади, но мы не спали (Е-е)
Молодые боссы, будто Пабло (А)
Едем забирать пакеты с налом (Р-р-р)
Загорелось солнце над ебалом (Хей, е)
Сутки позади, но мы не спали (Эй)
Молодые боссы, будто Пабло (Фью-фью-фью-фью)
Едем забирать пакеты с налом (Фью, кэш)

Go, go, а
Е-е, е
Е-е, е, эй
Фью-фью-фью-фью
"
Алиса,Ланцет,"Видел ли ты, как свобода выходит в окно?
Чувствовал ли, как надежду разводит беда:
Там, где стекался кошмар, разливалось вино
Праздники шли чередом, как всегда...
Слышали, что растекается проповедь тьмы...
И не заметили, как превратились в товар...
Новая нефть называлась когда-то людьми,
И её никто не учил отвечать за базар.


Всё уже в прошлом, и стёрто две тысячи лет.
Новое время формует ресурсы любя,
Всем, кому нечем дышать, будет выдан ланцет,
Резать себя, резать себя.

"
Радиопомехи,Целовались,"На сдачу пачка сигарет
В кармане умер телефон
И снова стороной рассвет
Обходит наш микрорайон
Говорили ни о чём
Подпирали дверь плечом
Целовались горячо
И курили
Разбивались навзрыд
Но теперь не болит
Будто бы не любили
Не жили
Четыре ночи на часах
Орёт на ухо Курт Кобейн
Знакомый привкус на губах
Дешёвый розовый портвейн
Говорили ни о чём
Подпирали дверь плечом
Целовались горячо
И курили
Разбивались навзрыд
Но теперь не болит
Будто бы не любили
Не жили
На всё забить и дальше плыть
За это можно всё отдать
Я не просил меня любить
Я не просил меня рожать
"
madk1d,Барыга,"Мой барыга сказал скоро сдохнет, и в карманах уже нет нихуя
Вся эта грязь ночных кварталов — половина меня
И участковый говорит, что нам всем скоро пизда
Сорри, малыш, я выбираю деньги, но не тебя
Мой барыга сказал скоро сдохнет, и в карманах уже нет нихуя
Вся эта грязь ночных кварталов — половина меня
И участковый говорит, что нам всем скоро пизда
Сорри, малыш, я выбираю деньги, но не тебя
В таблетках, я в таблетках, тот голос из пипеток
Найти меня анрил, брат, я не хочу сесть, брат
Я ненавижу рэп, блять, я на тяжёлых red dot
Я побледнел от перков, я побледнел от перков
Мой барыга сказал скоро сдохнет, и в карманах уже нет нихуя
Вся эта грязь ночных кварталов — половина меня
И участковый говорит, что нам всем скоро пизда
Сорри, малыш, я выбираю деньги, но не тебя
Мой барыга сказал скоро сдохнет, и в карманах уже нет нихуя
Вся эта грязь ночных кварталов — половина меня
И участковый говорит, что нам всем скоро пизда
Сорри, малыш, я выбираю деньги, но не тебя
"
Радиопомехи,Самоизоляция,"Я приколю тебя на стекле
Я повешу себя на стене
Город-дурман, пляшут огни
Голос мой, слова не мои
Вне притяжения, вне тебя
Вне заражения, вне земли
Не курить, пристегнуть ремни
Ночь. Смотри
Я теряюсь в толпе, развяжите мне руки
Я зарываюсь в снег, я ненавижу весну
Я заблудился в тайге, в тайге своих планов
Я ебанулся, позовите санитаров
По карманам смятая пыль
По рукам православная дрожь
На лице счастливый мотив
А на улице тиф. И дождь
Режиссёр микширует звук
Тишина провоцирует крик
Лестницы спин, поручни рук
Час пик, час пик
Я теряюсь в толпе, развяжите мне руки
Я зарываюсь в снег, я ненавижу весну
Я заблудился в тайге, в тайге своих планов
Я ебанулся, позовите санитаров
По ночам отточенный храп
По утрам истерический смех
Звукоизоляция - общественный строй
Самоизоляция - общественный яд
Олигофрения по всей России
Олигофрения от Крыма до Сибири
Три затяжки зелёного сна
Аллергия, весна
Я теряюсь в толпе, развяжите мне руки
Я зарываюсь в снег, я ненавижу весну
Я заблудился в тайге, в тайге своих планов
Я ебанулся, позовите санитаров
"
CUPSIZE,Они все дрочат на тебя в интернете,"Её состояние бывает странное
Она носит иногда с собою травмат
Худое тело, тому дело моя мания
Она продаёт свои фотки без белья
Тогда я понял, насколько же ты пиздатая
Я постоянно грешил на тебя во снах
Но о любви видимо разные понятия
Поэтому я продолжаю тосковать
О-о, оу, о-о, оу (Ау, ау, ау, ау)
Они все дрочат на тебя в интернете
О-о, оу, о-о, оу (Ау, ау, ау, ау)
Они все дрочат на тебя в интернете
О-о, оу, о-о, оу (Ау, ау, ау, ау)
Они все дрочат на тебя в интернете
О-о, оу, о-о, оу (Ау, ау, ау, ау)
Они все дрочат на тебя в интернете
Ты становилась старше и твои желания
Переезжали рамки, как людей трамвай
И настроение чаще ко всему отвратное
Анорексия, сиги, на улице май
Ты знаешь, что делать, чтобы привлечь внимание
У тебя явно дар погружать людей в транс
Они готовы выполнить твои желания
И ты решила завести свой Онлифанс
Онлифанс (Ау, ау, ау, ау)
И ты решила завести свой Онлифанс (Ау, ау, ау, ау)
Онлифанс (Ау, ау, ау, ау)
О-о, оу, о-о, оу (Ау, ау, ау, ау)
Они все дрочат на тебя в интернете
О-о, оу, о-о, оу (Ау, ау, ау, ау)
Они все дрочат на тебя в интернете
О-о, оу, о-о, оу (Ау, ау, ау, ау)
Они все дрочат на тебя в интернете
О-о, оу, о-о, оу (Ау, ау, ау, ау)
Они все дрочат на тебя в интернете
"
CUPSIZE,Но им не смешно,"Я был очень пьян
Но в моменте трезвый
В лесополосах
Я гулял весь вечер
Там нашёл друзей
Звал в свою квартиру
Чтобы скорчить всем
Им смешную мину
Но им не смешно
Но им не смешно
Больше не смешно
Но им не смешно
Где-то в три утра
Я всё пел им песни
Скоро весь мой двор
Будет знать их тексты
В детстве я хотел стать крутым пожарным
Но взрослея я, лёг в психдиспансер
Пролежав там год
Вышел и всё понял
Заимев себе
Небольшое хобби
Но им не смешно
Но им не смешно
Больше не смешно
Но им не смешно
"
CUPSIZE,Целовались,"А ты помнишь, как мы
Целовались-целовались-целовались под Луной
А ты помнишь как мы
Целовались-целовались-целовались под Луной
А ты помнишь, как мы
Целовались-целовались-целовались под Луной
А ты помнишь, как мы
Целовались-целовались-целовались под Луной
А ты помнишь, как мы…
Запах сигарет в твоей квартире
Я спешу к тебе уже как час
Пробки в моём городе, как в фильме
К счастью просто ускоряю шаг, ой
А ты самая красивая на свете
Платье, ноги, университет
Ты тихонько куришь у больницы
Солнце улыбается в ответ
А ты помнишь, как мы
Целовались-целовались-целовались под Луной
А ты помнишь как мы
Целовались-целовались-целовались под Луной
А ты помнишь, как мы
Целовались-целовались-целовались под Луной
А ты помнишь, как мы
Целовались-целовались-целовались под Луной
А ты помнишь, как мы…
Целовались-целовались-целовались
Целовались-целовались-целовались
Целовались-целовались-целовались
Целовались-целовались-целовались
"
Песни из аниме,"Mata Kimi Ni Aeru Hi - (День, когда я смогу увидеть тебя вновь) - Assasination Classroom S2 ED2 - Shion Miyawaki на русском","Тишина вокруг. Сквозь листву в окно поутру солнца нежные лучи падут.
Настальгию мою не развеять, в ней глубоко утону.
Нить из прошлого собираю я в один клубок. Растёт в моей душе тепло.
Узнали мы от Вас, что связаны сердца, и не забыть урок тот никогда!
Вновь пришла к нам весна, но силуэт знакомый уж исчез навсегда, и не найти его никак.
Время идёт, но образ не сотрёт минут поток.
Надежда хрупкая живёт, что сможем с Вами увидеться ещё.
Вишня зацвела. Как обычно вместе идём, разговаривая о делах.
Что же завтра ждёт? Кажется, меняться моя судьба начнёт.
Жизнь тех, кто был рядом - драгоценности для Вас. Привыкли их оберегать.
Шли следом за спиной, что стала всем родной, не упускали из виду её.
Вновь пришла к нам весна, но силуэт знакомый уж исчез навсегда, и не найти его никак.
Время идёт, но образ не забудем ни за что.
Надежда хрупкая живёт, что сможем с Вами увидеться ещё.
Происходит многое, (В прошлом Вы)
И всему причина есть. (сказали нам)
Научили, как увидеть суть всего,
И потому понять смогли итог.
Вновь пришла к нам весна, но силуэт знакомый уж исчез навсегда, и не найти его никак.
Время идёт, но образ не сотрёт минут поток.
Он в нас живёт...
Вновь пришла к нам весна, но силуэт знакомый уж исчез навсегда, и не найти его никак.
Время идёт, но улыбаемся мы день за днём.
Надежда хрупкая живёт, что сможем с Вами увидеться ещё.
"
Песни из аниме,Hope is the Thing with Feathers - (Надежда - нечто в перьях) - Honkai: Star Rail OST - Chevy (Robin) на русском,"Мы восстаём, как предначертано судьбой.
Мы тьму встречаем и с невзгодами ждём бой.
Мы с отчаяньем в борьбе, но храним надежды свет, воо, воо
Достичь мечты держа обет.
Не скрыть мир от глаз, но вздор слепит нас.
Слова нипочём, свой путь найдём, свой путь найдём.
Воспрянь! Ведут пути нас в долины и зелёный лог.
Заря под стук колёс о грёзах споёт!
Воспрянь! Где скрыты тени, нашепчет мягко сеть дорог.
Идём вперёд! воо-оо
Впереди пускай беда, не станем мы робеть. во-оо
Жизнь битвами полна, и знаем вкус побед.
Не страшат гром и шторма, верим в правды свет, что проста. воо, воо
Начинаем с чистого листа.
Воспрянь! Ведут пути нас в долины и зелёный лог.
Заря под стук колёс о грёзах споёт!
Воспрянь! Где скрыты тени, нашепчет мягко сеть дорог.
Идём вперёд! воо-оо
Воспрянь! Не сбейся с ритма, ведь цель так близко, зовёт, маня.
И впрямь! Всё в королевстве вмиг озарит свет дня.
Воспрянь! Споют дороги о том, что за секрет хранят.
Нас цель свела! воо-оо
Под звёздным небом все за грёзами гнались,
Пред ликом божьим как один.
"
Король и Шут,Утренний рассвет,"Утренний рассвет солнце поднималось над землёй
Просыпался лес, восхищаясь розовой зарёй.
Над озером стоял, клубился белый туман
В овраге под горою шелестела листва
Луч солнца улыбался и с росою играл
Особенно прекрасны утром эти места
Продолженье сна, дивная пора
Как божественна природа и проста...
В небе голубом облака плывут, как корабли
Тёплый ветерок мчится над поверхностью земли
Ещё не пробудились петухи в деревнях
И рыбаков на озере пока не видать
Коровами истоптана трава на полях
Как здорово, что здесь мне довелось побывать...
Продолженье сна, дивная пора
Как божественна природа и проста...
Продолженье сна, дивная пора
Как божественна природа и проста...
"
Григорий Полухутенко,Ария пророка Ионы,"Надо мной – взвесь Подо мной – снег И сам я стою немного У меня здесь Ничего нет
Всё строго Ты вошла в дом Я схватил нож Я свободен от всяких иллюзий Радость жить в том Что пока что живёшь...
Слушай бедную голову мою пожалей и прости меня
Бедную голову мою на сей раз оставь
Ты давно спишь Я – вообще нет Я не спал сорок дней и три года Из меня выпит, вытянут, выкачен весь цвет из аккорда Ты вообще глух Или ты сдох Ты пошёл за какими блага-ами Если ты вслух Если ты Бог
Будь с нами
Слушай бедную голову мою пожалей и прости меня
Бедную голову мою на сей раз оставь
Слушай бедную голову мою пожалей и прости меня
Бедную голову мою на сей раз оставь
На сей раз оставь
На сей раз оставь
На сей раз о-слушай и слушай, и слушай, услышь меня Рот мой почти под водой
И где твоя ярость на нас
Где твоя жалость для нас
Слушай и слушай, и слушай, услышь меня Слышишь ли, слышишь мой вой
И где твоя жадность до нас
И где твоя ненависть в нас
Надо мной – Бог Подо мной – свет И сам я стою немного У меня здесь Ничего нет
Всё строго
Всё строго
Всё строго
"
Сергей Никитин,Синий цвет,"Цвет небесный, синий цвет полюбил я с малых лет в детстве он мне означал синеву иных начал и теперь, когда достиг я вершины дней своих в жертву остальным цветам голубого не отдам
Он прекрасен без прикрас это цвет любимых глаз это взгляд бездонный твой напоенный синевой это цвет моей мечты это краска высоты в этот голубой раствор погружен земной простор
Это легкий переход в неизвестность от забот и от плачущих родных на похоронах моих это синий негустой иней над моей плитой это сизый зимний дым мглы над именем моим
Ла-ла...
Цвет небесный, синий цвет полюбил я с малых лет в детстве он мне означал синеву иных начал и теперь, когда достиг я вершины дней своих в жертву остальным цветам голубого не отдам
"
Инфекция,Быть может,"Не стало девок
Море шнапса
И заменяет пищу мне-е зубная паста
Но умерла ты и травишь душу мне
Сидишь на небе ты, а я сижу в дерьме-е-е-е-е-е
Быть может я уйду туда
А-у А-а
Пойду повешусь
Иль утоплюсь
К тебе на небо я
По быстрому примчусь
Мы будем жить с тобой как ангелочки
И буду я ковыряться у тебя в пупо-о-о-очке
И на лице давить прыщи
И кушать щи
"
Новиков Александр,Расстанься с ней,"Вот вошла она, и стихло все крикливое,
И зажегся будто в темени маяк.
Погрустневшая и чья-нибудь любимая,
Как когда-то много лет назад – моя.
Было жарко, а в душе хрустел мороз еще –
Коль друг другу мы не первые уже.
И влепила мне губами с нежным прозвищем –
Клювом ласточки – занозу на душе.
Расстанься с ней! – весь мир кричал-вопил, но я ее любил.
Она грешна, ей места нет в раю, но я ее люблю.
Умерить пыл ее не хватит сил, но я ее любил. X
А локоны совьют тебе петлю, но я ее люблю.
Улыбнулась, и окончилась история.
Покружилась и ушла как тень из дня.
И остался с целым миром в прежней ссоре я,
Что когда-то перекрикивал меня.
Расстанься с ней! – весь мир кричал-вопил, но я ее любил.
Она грешна, ей места нет в раю, но я ее люблю.
Умерить пыл ее не хватит сил, но я ее любил. X
А локоны совьют тебе петлю...
Расстанься с ней! – весь мир кричал-вопил, но я ее любил.
Она грешна, ей места нет в раю, но я ее люблю.
Умерить пыл ее не хватит сил, но я ее любил. X
А локоны совьют тебе петлю, но я ее люблю.
"
ARFEI,Сирота,"Если б у меня была сестра
Мы бы вместе бегали по лужам
Я б вязал ей ленточки из кружев
И водил бы в сад ее с утра
Если б у меня, если б у меня
Если б у меня-была сестра.
Если б у меня, если б у меня
Если б у меня-была сестра.
Если б у меня был старший брат
Он бы починил мои игрушки
И его красивые подружки
Помогли б уроки мне решать
Если б у меня, если б у меня
Если б у меня-был старший брат
Если б у меня, если б у меня
Если б у меня-был старший брат
Если у меня бы был отец
Он бы подарил мне новый велик
Мы бы допоздна смотрели телик
Вместе по грибы б ходили в лес
Если б у меня, если б у меня
Если у меня-бы был отец
Если б у меня, если б у меня
Если у меня-бы был отец
Если у меня была бы мать
Я бы помогал ей прибираться
Я не стал бы воровать и драться
И не вздумал школу прогулять
Если б у меня, если б у меня
Если у меня-была бы мать
Если б у меня, если б у меня
Если у меня-была бы мать
Если б не случилось той беды
Я б не плакал ночью до надрыва
Если б не погибли все от взрыва
Если б у меня - у сироты
Если б не случись, если б не случись
Если б не случилось той войны
Если б не случись, если б не случись
Если б не случилось той войны
"
